Apatani,English
miigo-biila,to do things one by one in a systematic way
miigu,to do something differently from before; to change one's way of doing something
miigur,to protect or guard
miigya,"to make a mistake; to commit blunder, offense or crime"
miigya-lugya,wrongdoing; misbehaviour
miigyo,to add or mix
miiha,hard/difficult to do
miiha-miikha,to bother; to pester; to annoy
miihi,to put/keep something aside
miihii,to do excessively
miihii-miikhe,"to change one's action, work or activity"
miiho,to mark; to make a sign
miihu,to wake
miihu-miiha,to bother; to disturb; to upset
miija,to finish to do something; to complete doing something
miije,to do actually or in reality
miije-miije,to do something over and over again
miijer,spark
miijer-miiber,sparing; careful in spending or using
miiji,(Bot
miiji-miipa,convenient
miijo,award/benefit/result/price of an action
miiju,way of doing something; way of acting; behaviour; manner
miiju-luju,manner; behaviour
miiju-miimyo,activities linked to tradition and culture; traditional ways
miika,to do something as a trial or to see what happens
miika-luka,to try
miikha,to do or act wrongly
miikhe,to act energetically; to make every effort to do something
miikhii,to kill by beating
miikho,"to do something which results in a loss/wastage of money, property, value, etc"
miikhu,to demarcate
miiki,to bend
miiko,place for performing a task
miiko-miipe,to exchange reciprocal help; to assist one another reciprocally
miiku,"in a fragile position, as of something that may fall if handled carelessly"
miikur,to do back
miikw,belonging to others; not own
miila,clever or good at doing something
miila-lula,skilled; expert
miilanja ho,everywhere; all over the world
miile,remainder of an act or activity which has already been partially performed
miili,to act to avenge oneself
miilii,emphatic particle
miilinii,one who takes revenge (unspecified); avenger
miiliniin,[´mi´lini] n
miilo,to make something fall
miilu-miile,to cause confusion in doing something; to disturb
miilya,"to do something meanwhile/in the meantime, e"
miilyi,"to displace the skin, or a cover from or within the body while doing something"
miilyo,flame
miilyo-miicho,"to flatter, as in order to gain something"
miilyu,to waste (esp
miilò,eighth lunar month of the year; July-August
miima’,a variety of hebaceous plant whose slender leaves are used to tie bundles of paddy or millet plant (Miscanthus sinensis)
miime,(of an act or a resource) to finish off
miimi,to put out a fire
miimur,to do something wrongly
miimya,to smear
miimyo,to do something in advance/beforehand/ahead of time
miimyo-miimyu,last action/activity
miina,wholly occupied in doing something; fully absorbed in one work or activity
miina-nanii,tool; implement; instrument; utensil
miine,"to hit, beat or strike someone"
miini,"to get one's finger, etc"
miinii,doer; one who does or make something (unspecified)
miiniibo,doer (specified); the one who does or make something
miiniin,[´mini] n
miininiin,[mini:ni] n
miinya,to rub to produce a smooth surface; to polish
miinye,to do till completion
miinyo,to do for free
miipa,to remove; to get rid of
miipe,to do something to completion
miipi,"to break something, as an egg, etc"
miipo,"to act from the middle of something, or midway through a process"
miipo-miilo,to act randomly or without care
miipu,to make/commit a mistake inadvertently; to do something mistakenly
miipur,"to break, e"
miipya,to undo/untie something
miipya-miisa,to scatter
miipyo,to do something before anyone else does; to do first
miipyo-miipa,to do something easily
miipyu,to act in an offending way; to insult or offend someone by one's acts
miira,(in olden days) dependent; slave; servant
miire,to act bravely and boldly
miiri,ember (glowing or not); charcoal
miiri-miinya,tiny; minuscule
miiri-miiri,in a flitting manner or behaviour; flittingly
miirii,to help someone do something
miiriibo,helper; assistant
miiro,to enlarge; to widen; to extend
miiru,hard or unpleasant to do
miiru-miikha,"to anger, irritate, exasperate or annoy"
miisa,to do/make something from a distance
miisi,to take one's turn to do something
miisii,thing that has or ought to be done; task; work
miisii- lusii,task; duty
miisu,to do (by) oneself
miita,place where an action is performed
miita-nanii,place/support/tool on which an action is performed
miite,to do the last thing
miite-miiyi,ultimately
miiterja,best effort
miiti,to do again; to redo
miitii,to complete something
miitiinii,repairing; repair
miitu,to break
miiya,to fight about; to quarrel; to dispute
miiyan chiru,chiru n
miiye,(of an action) sufficient
miiyi,to move down to do something
miiyo,to mix; to blend
miiyo piilye,feather duster-like priestly ritual object used esp
mija,eldest one; one who is the eldest (among)
mijer,(Zool
miji,one of the two major oral genres of the Apatanis (altogether with *migun)
miji enko,basket filled with rice that is offered to the priest (*nyibu) as compensation for his services
miji lanchu,(Anat
miji pinta,rice beer gourd container used only by the priest while performing ceremonies
miji yaju,ladle made of gourd used by the priest to distribute rice beer during rituals
miji’,one well versed in traditional literature	[Entym.	ami’ (eye) + áfò (skin)]
miji’ lañcu,Adam’s apple
miji’-miguñ,traditional knowledge
miju,faint-hearted; cowardly; timorous 
mijun,adj
miju’,cowardly; timid
miju’ mija,cowardly; timid
mijí,orphan
mikhii runii,"medium; person who is said to be possessed by a spirit, esp"
mikiñ,title used for dead males
miku-milya,to express one's dissent or disagreement by eye blinking or winking
mikì,skilled; expert
mila,(Anat
milañ,a variety of weed usually in the paddy fields
milin,adj
miliñ,serious (of health status)
milo,male
milo ingya,male's side of an house
milo piilo,"seventh lunar month of the year, roughly corresponding to July-August"
milo riiji,(Bot
milo rwjì,a variety of fern used in the construction of altars (Diplazium esculentum)
milo sampo,chank shell beaded necklace worn by priests (*nyibu) and males during certain important rituals
milo sampu,chank shell beaded necklace worn by the priest (*nyibu) during important rituals
milobo,male
milobo nyanii,"affinal kinsmen of the husband of a married couple, comprising all people considered as *aku (maternal uncles), i"
milya ri,"to have a sudden onset of pain in an eye, as when something is thrown into it"
milyo,(Anat
milyo amu,eyelash
milò,husband
milò iñ,to get married (of a female)	[ant.	myw laa
mima,(Bot
min,[mi] vsuff
mingo,rich; wealthy; affluent
mingo-tamo,"powerful, in terms of wealth and social position"
mingoja,richest
mingonii,wealth; richness
mingoya,richer
mingoyado,to become richer
minii,(Zool
mipa,an early ripening variety of millet mainly grown in paddy field bundhs
mipo,(Zool
mipya,an early ripening variety of rice
mipya piilo,seventh lunar month of the year
miqo,rich; wealthy; affluent
miqo-ta’mo,rich and powerful
mire,(Agr
miri,(Anat
mirii,(Agr
miru,dew
mirw’,powdered millet
mirw’ yalañ,grinding stone for millet
misan kobyan,kobyan n
misan pulye,pulye n
Misañ,"common term for non-Apatani tribes like Nyishis, Tagins, Galos, etc"
Misañ byako,yellow berried nightshade (Solanum xanthocarpum)
misi,title used for dead females
misiñ,machine
misu tami,variety of weed
misì,old woman
mitai,sweet
mite,"in olden days, owner/master of slaves; patrician; person of high social status"
miti,to close the eyes
mitin amu,amu n
mitu,"(of stick, trunk, pole, branch, etc"
mitur kurti,(Zool
mitu’,tip; apex; sharp end
mixw ronw,a person possessed by spirit
mixw runw,a person possessed by spirit
miye,to wink at (someone)
miyo-miyo,lethargic
miyu,human beings
miyu ako,one person; someone
miyu atan,[´miyu atã] n
miyu ipa,human excreta
miyu ka,to divine; to foresee
miyu kaniin,[´miyu´ka:ni] n
miyu-mima,human beings
mi’,get extinguished (of fire or light)
mi’be’,blink; wink
mi’be’ amu,eyelash
mi’byo’ amu,eyelash
mi’ca,blind
mi’fò,eyelid
mi’ju,eye discharge
mi’juñ,lethargic or inactive (of a person)
mi’jvr,a variety of tiny fly; midge
mi’la,tear
mi’ti,close (the eyes)
mi’tiñ amu,eyebrow
mi’ye’,wink
mi’ye’-gohe’,signal; making gesture by winking
mo,move one’s face
mo anyi,they two; both of them
mo anyika,they two; both of them
mo anyiko,(of two persons) at their place
mo anyimi,they two; both of them
mo anyipa,for they two; for/to both of them
mobyu,(Bot
mochu,to kiss
mocu’,kiss
modu-mobo,rude; indisciplined; unruly
mogo alló,cheekbone
mogo alo,(Anat
mohi,"unclean, as of water"
mohii,to turn or move one's face
mohol,big house; bangalow
moi,variety of colour pattern for male and female mithuns
moi’,turbid; muddy; murky
moka,"sunken, as of cheeks"
moka’,sunken (as of face)	[Ent.	zi’mo (face) + paka’ (dent)]
mokha,thirsty
mokhanii,thirst
mokii,his; her
moko,at his/her place
molu,they
moluka,their
molukii,theirs
moluko,at their place
molumi,them
molupa,for them
molusu,themselves
mombati,candle
mome,trunk (of elephant)
momi,him; her
mon,[´mõ] vt-r
mon pe,pe vsuff
monbi,to chase someone on someone else's behalf/ for someone
monpa,"to chase away, as a person or an animal"
mopa,for him/her; to him/her
mopla,muffler
more,forest
more miiya,(Zool
more mwyañ,black kite (Milvus migrans)
more pai,laughing thrush
more paje,(Zool
more-giira,forests
more-sansu,"forests, in general"
morto,metal arrowhead
morto apii,iron-tipped bamboo arrow
moru,cheek
morun,[mo:´rũ] n
morun alo,alo [mo:´rũ a´lo:] n
mosu,himself/herself
moyu,"unhappy, as of a face or look; gloomy"
moñ,chase; drive away; persue
moñpa’,chase; drive away; persue
mu,hastily and improperly
mubi,to brew beer on someone's else behalf/for someone
mubu,ash; ash color
mubu ruju,(of colour) dull
mubu-mulu,(of colour) grey; ashy
mubu’,gun
mudo,rain
mudo byocho,(Zool
mug' turtu,to support
mugo,(Agr
muja,socks
muku,tobacco
muku kuli,seed of tobacco plant
muku sudu,smoking pipe
muku tan,vcn
muku-kuli,tobacco plant seed
muku-mui,"carbon particles from smoke deposited on dust, spider web etc"
mukú-mwi,deposits of carbon particle from smoke
mula,radish
mulu,to scare
mundo,"girlfriend, female lover; girl or lady who can be a prospective girlfriend or lover"
mupa,to blow out
mur,incorrectly; mistakenly
mura,seat
murchi,(Zool
murpa sai,fog in the horizons that is usually associated with the advent of Myoko festival in March
murpu,bonfire
murto,metal arrowhead
muru,torch; bundle of burning split bamboos or firewood
murun chanta,chanta n
murun piilo,piilo n
muruñ,first month of the lunar year; january; name of the festival celebrated in January
murù,torch; flambeau
musha,romance
mutu,harf-burnt firewood
muyu,"ash, especially remains of burnt straws"
muñ-sa,romance; courtship; love affair	[Ent.	muñdo (girlfriend) + saado (boyfriend)]
muñdo,girlfriend; female lover
mu’,rut (animals)
mu’,blow (air)
mu’,brew (beer)
mu’go,outlet in a paddy field
mw,do
mwbi’,spill; splash
mwbo,help (in doing some work); assist; support
mwbo-lubo,participate; assist; support
mwbur,do something in an inopportune way
mwbya’,hurt by causing burns
mwbyu,contaminate (esp. liquids)
mwbyuñ,help; contribute
mwbyú,offend (by doing something)
mwce,trough cleaner
mwce’,interfere; obstruct; impede
mwci,kite (bird)
mwciñ,know how to do
mwci’,hurt the eye
mwcu,"fire accidenet, esp. burning down house (s)"
mwcvr,innovatively; ingenously
mwcì,copy; sketch; draw
mwdañ,touch (esp. to cause pain)
mwdiko,appropriately; suitably; relevantly
mwdiñ-kwliñ,intentionally
mwdiñpa,intentionally	[syn.	mwdiñ-kwliñ
mwdu-mwye,"strands of hair extending down the forehead, as often kept by young women"
mwdu’,destroy; damage
mwdvr,rectify; do something correctly
mwdó,rain; weather
mwdó byoco,swallow
mwdù,time for doing something
mwfañ,correct; rectify; amend
mwfo,flame
mwfu,waste; spend
mwgañ,"feathers of cock, usually of its tail"
mwge’,"pincers, usually of bamboo"
mwgiñ,"beneficial; profitable, of works"
mwgya,help someone on reciprocal basis
mwgya’,do wrongly; commit a mistake
mwgyo-mwfo,mix; blend; mingle
mwgò,task; work
mwgó,hearth; foreplace
mwha-mwxa,annoy; pester
mwho,make a sign
mwho,offend (by doing something)
mwhù,wake up; rouse
mwja,finish doing something
mwja’,tear something by handing it
mwji,a variety of tree having a very bitter taste
mwjo,reward for doing something; wage
mwjù,ways of doing; custom
mwjù-mwmyo,ways of doing; custom
mwkiñ,show how something is done; demonstrate
mwko-mwpe,disrupt; distract; disturb
mwko’,open
mwku’,make something fall by mistake
mwkú-mwdiñ,make noise
mwlañ,also
mwlañ,all; everybody
mwlañja,all; everybody
mwlañru,all; everybody
mwla’,skilled in doing something; expert
mwla’-lula’,skilled; expert
mwliñ,generate
mwlo kopo,hawk
mwluñ,frighten; scare
mwlì,take revenge
mwlù-mwle,disturb
mwme-mwja,complete; finish
mwme’,initiate
mwmiñ,win
mwmiñ-mwhiñ,do something without a purpose
mwmi’,extinguish; douse; put out (fire)
mwmur,do something wrongly
mwmya’,smudge; smear
mwmyó,do something in advance
mwmó,use or spend a portion
mwne’,touch; beat
mwni’,injure a bit while doing something
mwnì,prune; trim
mwnù-mwna,worthlessly; uselessly
mwpa’,remove; spend
mwpe,separate; detach; disconnect; segregate
mwpe’,complete; finish
mwpiñ,close
mwpiñ,use or spend a portion
mwpi’,break something fragile like an egg
mwpu,do something inadvertently; commit mistake
mwpur,break something
mwpu’,cover
mwpya-mwsa,scatter; disseminate; sprinkle
mwpyañ,close
mwpya’,undo something; untie
mwpyo,do something secretly
mwpyò,easy (to do); good to do
mwpó,cut accidentally with some sharp edge
mwqo,stop doing something
mwqu-mwre,discriminate
mwqó,unfinished task; remaining work
mwra,slave
mwra,effigy in an agricultural field to scare away birds
mwrañ-mwtu,significantly; notably
mwri-mwza,tiny; miniscule
mwri’,initiate doing something
mwru,hard; difficult
mwrw’,assist somebody in doing something
mwrí,charcoal
mwró,enlarge; widen
mwsi’,take one’s turn in doing something
mwsu’,separate; disconnect; detach
mwsw,task; things to do
mwsì,do something secretly
mwte’,knock down something
mwti,do something again; repeat; repair
mwtiñ,obstruct
mwtù,beginning	[v.	do something for the first time]
mwtú,half burned firewood
mww,heal
mwxa,compete; challenge; contend with; vie with
mwxa’,do something wrongly; commit mistake
mwxe’,make somebody cry
mwxo’,do something differently
mwxo’,"peel or scrap, of a wound scab or a bark of a tree"
mwxu,demarcate; delineate; separate
mwxw,kill
mwxwñ-mwmywñ,do something in a confused way
mwxw’,sprain
mwxè,do something forcefully
mwxó,do something leading to bankruptcy
mwyañ,a variety of plant used as tinder
mwyañ,crest on the head of cock
mwya’,interfere; encroach
mwyo,mix; blend
mwyu,ash
mwyù pwle’,"a priestly ritual object made of a bundle of feathers of peacock, hornbills and cock"
mwza’,smoothen; polish
mwze,finish; give a finishing touch
mwzo,do something without purpose or for free
mwzò,drill (esp. exercise)
mya,collect contributions; collect
mya,lull; console
myai,(Anat
myamu,(Anat
myamya,ringworm
myamya,antique brass plate
myamya piiro,plated basket of bamboo splits for storing *myamya
myamya pwro,plated bamboo basket for storing the myamya brass plate
myan,vt-r
myangu,to change someone's name
myañ,name
myo,frugally
myobu,forest which is deeper than *myora
myobya,facing the sunny side
myobyu,earthquake
myodi,far off place
myodi yasi,far off places or lands
myodu,time; season; period
myodu ho,at that exact time
myofi,facing the shady side
myogo,forest in the vicinity of the village
myogu,migrate; relocate; resettle
myokha,"flooring, made of half-sections of bamboo trunks"
myoko,third lunar month of the year; name of the festival celebrated in March
myoko kaji,variety of *kaji made during *Myoko festival
myoko piilo,third lunar month of the year
myokuñ,ritual performed for the well-being of plants
myokó,open space outside the village
myole,an element of ritual altar
myolyi,"(of a house, wall, mountain slope, etc"
myopii,bamboo mat used as flooring or partition inside the house
myopw,floor
myora,forest which is far in or deep
myoxa,bamboo floor
myu,last
myw,wife
myw káanw,diviner
myw-milo,married couple
myw-oho,family; wife and children
mò,he; she; third person singular pronoun
mò azi,they (two); third person dual pronoun
na,thing; matter
na si,what?
naa,collect; gather; muster
nabu-gombu,"swollen, as of face"
nago,ritual hut in the middle of a village
nakó,portion of village (esp. the lower one)
nakú,"uncle, esp. maternal (term of address)"
nala,drain
nala paka’,drain
nalo,to push down
nalye,(of house structure) rafters (usually 20 or so per face)
nalye lyata,roof battens placed horizontally on the roofing structure (usually 2 or 3 on each face)
nalò,push down
nama,your mother
nami,"portion of village, esp. the upper one"
nampa,to push away
nan,[nã] vt-r
nanbi,to push something/someone on someone's else behalf
nancha,to push up
nanche,to break/divide something by pushing in between
nane,your mother
nanii,tool; device; instrument
nankhe,to push something/someone forcefully or with anger
nanko,to push something open (e
nannge,"'palm', construed as a unit of linear measure corresponding to a hand-breadth, or the five fingers kept together"
nanto,[Do]!
naqe,a unit of measure equivalent to the width of a palm
nar,borrow
nar pwcañ,earthen pot from the water of which a newborn is bathed for the first time
narbi,borrow for somebody
narikol,coconut
nariñ-kari alo,Wednesday
narnii,lender
narniin,[´narni] n
narpa,to lend
narpanii,lender
narpa’,lend; loan
naru,odour; smell
naru tami,(Bot
narun denii,denii n
narun miilyan,miilyan vcn
naruñ,fencing (esp. of bamboo garden)
narw ahì,lemon
naspati,pear
nasu,dance
nasw,dance
nañ,push; press
nañbo,push something across
nañbò,help push; assist in pushing something
nañca,push something up
nañko’,push open
nañlò,push something down
nañpa’,push something away
nañpya,scatter by pushing
nañtiñ,close by pushing
na’bu-goñbu,pouting; swollen (esp. around the mouth)
ne,how much; how many
ne oho,how tall
nedo,may [do]
nee,thresh or knead
neha,man; human beings
neha appú,primrose (Primula spp.)
neha apu,primrose flower
neha tami,a variety of plant
nehan tami,tami n
neka,to struggle/wrestle (as a trial or to see what happens)
nekane,"(of size, amount, quantity) how much"
nekañ,toilet; latrine
nekañ afe’,door of the toilet
nekha,to rub off
neku,has/have [done]
neli,fragrant; appetizing smell
neli togiinii,"literally 'descent to Neli', a variety of ritual chanting performed by the priest during certain ceremonies such as *Murun and *Subu Tado aimed at guiding the souls of sacrificed animals down to the land of the dead"
nelii,world of the dead
nelii myokó,world of the dead
neliñ,send somebody out
nelo,household; independent house
nelw’,send somebody in
nembu,"house not having direct access to the main street or lane, which can be reached only through a narrow alley (*subu)"
nempa,to ask to go away; to expulse; to expel; to evict; to banish
nen,vt-r
nencha,to send someone up/northward
nenda,place around the fireplace reserved for men
nendu,(Bot
nene,bruise; contusion; black and blue mark
nenke,roof made of straw
nenke piilo,twelfth lunar cycle of the year
nenke ude,house with a thatched roof
nenkha,"stale, esp"
nenkhu,having a bad smell; stinky; smelly
nenko,lower section of a village
nensu,"to jostle; to bump or push, as in a crowd; to contend with someone for something"
nento,house facing a main street
nenyo,to practice threshing of grain by trodding underfoot
nepa,to rub out
nepu,to rub something so as to make it white
nere,to sharpen something by rubbing
nere tiinga,(Bot
nesu,(Agr
nesu-suchi,smaller granary that can accomodate 120 to 200 *enti-yagii baskets
nesu-suro,larger granary with a capacity if more than 200 *enti-yagii
nesú,granary
neñ,send someone somewhere
neñ,sniff; smell
neñ,"push, using the body; nudge"
neñbu,a house away from the main street
neñbu,home
neñcañ,plot of land for home
neñdiñ,upper section of the village
neñdú,sesame (Sesamum indicum)
neñke’,thirteenth lunar month of the year; December-January
neñko,lower section of the village
neñpa’,send somebody away
neñpuñ,space outside the house on the left side
neñpyo,good smell
neñru,foul smelling
neñsu,jostle; scramble
neñtó,a house on the main street
neñxa,stale
ne’,rub or scrape
ne’,"gnaw, as a rodent; nibble"
ngiilyan khiiko,khiiko n
ngiiyi pakhe,bamboo matting obstructing the outlet of a paddy field to prevent fish from leaving it 
ngiiyi siiper,fish pond
ni,trap (esp. birds with glue)
nii,you (sg
nii te,what!
niibo,which; which one
niibyu,handloom
niida,when (in the future)
niido,when (in the past)
niido kii,since when
niidu,utility; usefulness
niidu piidimapa,of no use
niidunii,what is essential
niihii-niiha,hurriedly; speedily; swiftly
niiho,to put or make a mark; to mark on
niihu abi,"variety of 3-vertical band (white, red and blue) cotton skirt with strip design called *abi hete"
niija,just a moment; just a second; wait a minute
niijalo,anything
niiji,(of colour) indigo; dark blue
niiji abi,variety of red and white cotton skirt
niiji sanii,(Bot
niiji yanii,"leaf of the Ghost Tree, used in the beer fermentation process and in various rituals"
niika,your
niikii,yours
niiko,"at yours (as possession, place of living, etc"
niiko ho,at your place
niilo,by means of what; with what
niimi,you; to you
niimkane,how much
niimpa,why; what for
niin,[ni] vsuff
niinyi,you two; both of you
niinyika,you two; both of you
niinyimi,you two; both of you
niinyipa,you two; both of you
niipa,for you; to you
niipu,to swallow without chewing
niire,(Bot
niire pulye,gunny bag; sack
niirii,to come across somone; to meet or find someone by chance; to run into someone
niiriipa,adequately
niit hapa,so much (lit
niitampa,how; by what means
niitan,[´ni´tã] pron
niite,to nap in a sitting position
niitiisiirii,"(of a person) frank and open, though a bit on the slow side"
niiyi,"element of a loin loom, a weaving tool used for lifting warp threads to make a passage for the weft thread"
niiyu,"to pierce, stab or penetrate with a pointed object"
nikuñ dapo,customary law
nimbu,(Bot
ninbu tii'nga,(Bot
niti,new
nitiñ,proverb
nitiñ-hormiñ,proverb
ni’,prune
no,you; second person singular pronoun
no ho,where
no hokw,from where
no hopa,for where
noho,where
nohoka,(to) where
nohokii,from where
nohopa,for where
nolo,by you
non,vt-r
nosu,yourself
noñ,call (esp. an animal)
nu,dark red colour
nu,collect; accumulate; assemble; stockpile
nubi,to wash clothes on someone else's behalf/for someone
nufañ,plain area; level ground
nunu,second person plural pronoun
nunuka,your (plural)
nunukii,yours (pl
nunuko,"at your (place); second person plural pronoun, possessive case"
nunukw’,"yours; second person plural pronoun, genitive case"
nunumi,"you (plural); second person plural pronoun, accusative case"
nunupa,"for you (plural); second person plural pronoun, purpostive case"
nunusii,yourselves
nuu,knead something (as dough) or as in washing cloth
nw,what
nw da,when (future tense)
nw do,when (past tense)
nwbyu,textile
nwji,a variety of tree; ghost tree (Sterculia urens)
nwji,indigo (colour)
nwji yanw,leaves of ghost tree
nwka,your; second person singular genitive pronoun
nwmañ,leaves and twigs; underbrush
nwmi,you (accusative); second person singular accusative pronoun
nwmiñ,placenta
nwmopa,why
nwmpa,why
nwpa,for you; second person singular dative pronoun
nwpu apiñ,feast on the occasion of the birth of a newborn baby
nwre pufe,gunny bag
nwri pwsa,a variety of pine; Himalayan hemlock (Tsuga dumosa)
nwrw’,adequate
nwsiñ-nwmañ,flora; plants
nwtañpà,how
nwtepa,why
nwtw apa,enough; that’s enough; interjecton to express satisfacton
nww,instigate; provoke
nwyi,an element of loin loom
nwzi,you two; second person dual pronoun
nw’,prick; stab
nw’pu,swallow without chewing; gozzle down; gobble down
nw’rw’,run into somebody
nw’te’,doze; nap; catnap
nw’yu’,prick; pierce
nya,to point (at something)
nyabe,frown
nyabe bekin,vcn
nyachu,(Anat
nyade,(of a speech) impolite; rude; ill-mannered; harsh
nyadu-nyabo,to rebuff; to reject/refuse something or someone blunty; to snub
nyago,"(of pig, boar, etc"
nyahii,term of reference for
nyaje,to have an expression on one's face as if one is about to cry
nyalyan,n:num
nyampe,ritual element of sacrificial altars imitating the metal pin that is inserted horizontally to tie a male hair knot (*piidin) 
nyan,vi-r
nyan-,class
nyanha,to poke one's head into or out something
nyanii,"kin category comprising, for an individual, all affinal relatives who are regarded by him/her as classificatory maternal uncles (*aku)"
nyanii mida,collective term for affinal kinsmen
nyankun,n:num
nyanne,how many years
nyannge,one year
nyanngo,five years
nyannii,to poke one's head close to someone or something
nyanya,slow
nyanyi,honey
nyanyi aru,honeycomb
nyanyo,(Zool
nyanyu,(Anat
nyapa,to criticize something or someone; to disapprove; to express an unfavorable opinion of
nyar,to cut a bamboo to sharpen it
nyarkhu,sharpening residue (esp
nyarta,to crush or flatten something underfoot
nyatu,knife (esp
nye,two
nyen,vt-r
nyenchi,tasty; delicious
nyenchi-tiyi,delicious
nyi,"(we, you, they) two (dual marker)"
nyibo ganda,foreign/alien place
nyibo pasu,"to fight a battle, esp"
nyibu,Apatani religious priest
nyibu bariinii,assistant of a *Nyibu priest (unspecified)
nyibyaja,quickest; fastest
nyibyapa,quickly
nyibyaya,quicker; faster
nyibyayapa,quicker; faster
nyibyo,first day following a ritual proscription/abstinence (*anyo)
nyikhan,n:num
nyikun dapo,dapo n
nyima,enemy
nyime ilyo,Tibetan sword
nyime kori,variety of metal bangle
nyime yaru,rainbow
nyimii ingya,female's side of an house
nyimii la,to marry a woman; to take a wife; (by a man) to get married
nyimii nyanii,"wife's relatives; collective name for all people individually addressed as ‘*aku' (mother's affinal relatives); along with *milobo nyanii, this group of kinsmen is traditionally under an obligation to render a man assistance in emergencies"
nyimo,(Anat
nyimper,nipple; teat
nyimun,[´ɲimũ] n
nyimun miha,miha n
nyimun yapa,yapa n
nyipa,general term for people living in lower altitudes; plainsmen
nyipa ilyo,sword made in the plains or by plainsmen
nyipa yaru,(Bot
nyitii,(Agr
nyo,to abstain from work or food due to religious prohibition or taboo
nyokhe,(Zool
nyoko tati,(Zool
nyonii,abstinence/avoidance of food due to religious/ritual prohibition or taboo
nyor,to put the feet up and down on mud
nyu,"to skewer, as meat on a stick"
nyupa,to remove/dig out something from the body
née,wrestle
néesu,wrestling
o,liquor; alcoholic drink; rice or millet beer
o barde,cane basket used for distilling rice/millet beer
o sader,funnel-shaped material used for filtering beer during beer processing
o sadvr,bamboo funnel for filtering beer
o tantenii,"first period of the Myoko festival, during which visiting guests are entertained with food and drink and compete their host in *ayu songs"
o tarko,"male person in charge of rice/millet beer during festivals, e"
o xui’ hamañ,a variety of vegetable; creeping woodsorrel (Oxalis corniculata)
o yaju,ladle used to take or draw rice/millet beer
obyo,long
obyo ngiiyi,(Zool
obyoja,longest
obyoya,longer
obyo’,long
of a,or place; sunken; hollowed
of that,of the bride price known as *ponyo
oha,interjection to express surprise
oho,child; son; daughter
oho ashi,"descendant (grandchild, great grandchild, etc"
oho asi’,grandchild
oho bu,to give birth
oho buko,birthplace
oho búu,give birth
oho búudu alo,birthday
oho gw,be pregnant
oho milobo,son
oho zimw,daughter
ohobo,"term of reference for someone's classificatory uterine nephews, i"
ohoja,tallest
ohoo,feed
ohoya,taller
ohò,sharp bamboo stick put on the ground to prevent intrusion
ohó,tall; high
one,"is given to the eldest female representative (*ami akha) of the lineage (*uru) of the household head, the other to the eldest female representative of his wife's lineage "
only alyin,[a´lji] n:time evening
onyi-riinyi,"beautiful, as of a small thing"
opa,to cut away or remove with a hoe; to hoe off (e
opa’,give up; let go
opis,office
or a,from a whole obtained as the result of the action indicated by the verb
or takes,"in an action indicated by the verb in the same way as, or in addition to another person, or that the marked action is carried out in addition to another action"
orbyo’,long
orin pagin,pagin adj
oriñ-pagiñ,mixed color; stripes
oye,once; one time
ozi’-rwzi’,cute; small and beautiful
pa,cut (by striking); fight; peck
pa,post.	purposive case marker
pa la,by; with
pa mii,to put forth effort to correct/rectify something; to make a point of rectifying something
paa,find (esp. by chance or luck); stumble on; chance on
paaka’,plate
paako,an element of babo
paaku’,plate
paapi,a variety of flowering plant (Hedychium ellipticum)
paapw,a distinct plot in a vegetable garden
paa’,bargain; offer to buy something
paba,(of a plural subject) to cut/strike with a machete or sword together
pabi,to cut/strike with a machete or sword on someone else's behalf/for someone
pabo,to cut/strike something with a machete or sword along with someone
pabu,topographical depression; chasm; valley
pabya,(of a collection of objects) untidy; messy; scattered; strewn
pabyapa,untidily; disorderly
pabyo,dispute; quarrel
pabyó,quarrel; dispute
pabù,swollen; bloated; puffed up
pabú,valley; gully
pace,the other side
pace,cut into two pieces
pace’,clasp; clutch; besiege
pacha,to levy a fine
pache,"other side, opposite side"
pache-nanii,"any tool used for gripping or nipping things, such as pincers"
pachehe,half (of something that has been cut/split with a machete or sword)
pachi,"element of a *giirii trap, the small wooden spike which functions as a spring trigger"
pachi ladu,"element of a *giirii trap, a wooden peg on which the *pachi is tied"
pachosiinyo,(esp
pachu,chick; chicken
pachu-chuhe,one chicken
pachu-paro,"domestic fowls, in general"
pachuhe,one chick or chicken
paci’,an element of a rat trap
paco’,head of a stream
pacu,chick
pacu yagw,a small cane basket used as a measure of grain
pacuhe,measure worth of a chicken or paddy in a pacu yagw
pacá,levy fine
padii,general term used to denote several plant species eaten as vegetables
padin ditin,ditin n
padiñ,erosion control embankment usually of bamboo and wood along the banks of the streams
padiñ swko,confluence of two or more streams
padu,to damage or destroy something by striking it with a machete or sword
padu afí,seasonal wind usually in February
padu alyi,"strong seasonal wind which blows at the end of January or in the begining of February, often accompanied by rain"
padu latu,"variety of *murun requiring the slaughtering of two to three mithuns, whose meat is to be distributed among the inhabitants of one or two villages belonging to the donor's own group"
padun,adj
padu’,damage by cutting
padu’,hop to express extremes of emotions
padw’,a variety of vegetable	[_syn.	padw’ hamañ]
padw’ hamañ,a variety of vegetable
pafa,leaning; inclined; bent
pafa-paca,unsteady; staggering
pafi,patch; patch on; stitch up; repair
pafo’,bent; not straight; inclined
pafò,patch; piece
pafù,a variety of bird; parakeet
paga,spread the legs apart
page,write; mark
pager,(Agr
pager pa,to make/repair bunds of paddy fields
pager piilo,second lunar month of the year
page’,light a fire; set fire; ignite
pagi,debt; financial obligation; outstanding payment
