Apatani,English
alyo,(Anat
alyo dipa,to peel the skin of something (e
alyo konso,(Zool
alyo pike,dried animal hide *pike (usually mithun hide or cowhide)
alyu,to lose; to get something lost
aláa,"juice, broth"
alì,leg
alì arañ,bottom; base; lower part
alì innánw,stilt; pair of pole equipped with footrest to enable a person to walk at a height from the ground
alì lwpiñ,instep
alì lwpyo,sole
alíi,bury
alíi,seed; descendant; progeny; successor
alóo,bamboo flooring support
alóo xuu,inherited property (esp. house plot)
am sanii,(Bot
ama,mother (term of address)
amaniihe,anything; everything
amañ,roof
ama’,feed (esp. the hired laborers)
ame,(by animals) to mate; to copulate
ami,cat
ami ajan,adjphr
ami horlyi,to look sideways; to have a squint
ami horpu,(Anat
ami nuri,(Anat
ami talu,(Med
ami to,to lag behind
ami-atu,kitten
ami-mibu,(Anat
ami-mibyo,eyelash
ami-mila,teardrop
ami-minii,she-cat
ami-mipo,tomcat
ami-miri,(Anat
amii,term of address for
amii-alo,casual; unimportant
amiija,smallest; finest
amiiya,smaller; finer
amin,adj
amin-ahi,[a´min´ahi] n
amin-ahi kheniin,kheniin n
amin-ajan,adj
amiñ,docile; obedient; sumbissive; deferential
amiñ,ripe; cooked
amiñ,shade; shadow
amiñ-ahiñ,gift; present
amiñ-ajañ,docile; candid; frank
ami’,extinguish; douse; put out (fire)
ami’,eye
ami’ ajañ,one who cries easily
ami’ mi’byo,eyelash
ami’ mi’tiñ,eyelid
ami’ nuri,pupil
ami’ ácì,conjunctivitis; eye disease
ami’-aguñ,design; motif; pattern (esp.in embroidery)
amloke,(Bot
amo,remaining grains of unhusked rice grains among husked ones
amo-ahe,dust (esp. those sticking on the body after works)
amu,hair
amu,yield; production; quantity (crop)
amu perun,[´a´mu pe´rũ] n
amu pèeruñ,a variety of bean
amupa,falsely
amur,to come by mistake
amw arwlò,interjection to express hopelessness
amẁ,daughter-in-law (term of address)
amw’,small; tiny; fine
amya,(Anat
amyañ,name
amya’,penis
amánw,everything; each item
amí,elder sister (term of reference)
amí-abañ,elders
amú,lie; untruth; falsehood [v.  to tell a lie]
an,[´ã] part
anar,(Bot
anaras,(Bot
ane,mother (term of address)
anee,provide packing or support to join or mend something
ani,(Bot
anii,mother (term of reference)
anii pike,dried ginger leaf *pike
anii-aba,parents (term of reference); mom and dad
anii-akha,general term of respect for married female adults
anii-chi,"stepmother; woman who has married one's father after the death of, or divorce from one's natural mother"
anii-oho,mother and child (term of reference only)
aniibo,the one who comes (specified)
aniin,[´a:ni] n
ano,to smear; to put on; to rub in; to apply (ointment)
ano lama,seldom
anoo,very; extremely; awfully
anu,younger brother
anu-abañ,brothers; sibling
anu-ami,sisters (term of reference for female representatives of one's kindred)
anu-barmii,younger siblings in general; (by extension) juniors
anw,leaf
anẁ,mother (term of reference)
anẁ-aba,parent
anẁ-ci,step mother
anw’,swallow; gulp down; ingest
anw’,hurry; haste; urgent
any protruding,or rough surface that provides a firm grip
anyan,[a´ɲã] n:time
anyan ho,ho advphr
anye,two
anyi si,these two
anyin asin,asin vt-r
anyin sinnin,sinnin n
anyo,"to observe a ritual proscription or abstinence (from work, certain foods, fresh green vegetables, etc"
aníi,fruit bud
apa,to give up; to leave; to disregard
apa-ama,simple; artless; guileless; innocent
apan keman,keman n
apañ keemañ,male dragonfly
apa’,to give up; to let go
apel,apple
aper,any solid object more or less spherical in shape
aper pike,"gall bladder *pike, generally from cows which tastes both bitter and sweet"
api,(Anat
api ala,(Anat
api-aláa,sap of a tree
api-ara,clapping
apii,"arrow, in general"
apii-age,quiver
apii-alyi,bow and arrow
apii-aso,"size, in terms of area"
apii-piitu,iron point of an arrow
apin,[a´pi] n
apin binii,binii n
apin dii,dii [a´pi di] vcn
apin diigo,diigo [a´pi digo] n
apin honiin,honiin n
apin hurta,hurta [a´pi hur´ta:] n
apin piichan,piichan [a´pi pi´tɕã] n
apin piiha,piiha [a´pi pi´ha:] n
apiñ,warm (hand)
apiñ,cooked rice
apiñ ga’hiñ,ball of cooked rice
apiñ pwcañ,pot for cooking rice
api’,break (by dropping)
api’,feed (esp. fowls)
apo,(Anat
appú,flower
apu,flower
