English,Apatani
break (of relationship),roniin
break out (fire),lyage/yage
break up (a building),pyapa
breakfast,aro apin
breast,anyin
breastfeed,anyin asin/anyin sin
breast-feeding,anyin asinnin/anyin sinnin
breathe,sa
breath,saniin
breathing,saniin
brew (beer),mu
brewing process,muniin
bribe,kamo
bridal gifts,ari
bride price,barmii ari
bridge (in paddy field),siigo
bridge (of the nose),yapin-pinyan
bright and shiny,kiilyan-kiilo
brighten,byohu
bring (along with),-gii
brittle,arin
"broad (bamboo grove, garden)",ngoro
broad (piece of land),poro
broad (rice field),garro
broad (road),byaro
broken (result),-re
broker,kiiri/kiiri innii
broker,kiiri du
brood (eggs),gu
brook,kiile
broom (traditional),iipii-nanii
broth,ala
"brother (elder, term of address)",ate
"brother (elder, term of reference)",atebo
"brother (elder, term of reference, male speaking)",aban
"brother (younger, term of reference)",buru
"brother younger (male speaking, term of address and reference)",anu
"brother (female speaking, term of reference)",baro
brother (elder)'s wife (term of address),achi
brother (elder)'s wife (term of address),achibo
"brother (younger)'s wife (older than speaker, term of address)",achi
"brother (younger)'s wife (older than speaker, term of reference)",achibo
brother (younger)'s wife (younger than speaker),amii
"brother-in-law (sister's husband, term of address)",ahu
"brother-in-law (sister's husband, term of reference)",mabo
"brother-in-law (wife's brother, term of reference)",atobo
brother's son's wife,amii
brother's daughter's husband (term of address),ahu
brother's daughter's husband (term of reference),mabo
brown wood owl (strix leptogrammica),tapi ngiila/tapi ngula
brownish (colour),pila ramba
brush off (with a broom),pii
bubble,pari papu
bubble-like thing,sarpu
buceros bicornis,piigya
buck (male deer),dimbo/siidin-dimbo
bucket,harpo
"bucrane (of cattle, used as a warning sign)",dapo-pogyan
bud,polin
buffalo,mendii
buffalo cow,mendii-diinii
buffoon,piicha
bug (green variety),uyi atu
bugle (made of catlle horn),siirii
build,mii
build (a bund along the embankment of a stream),padin ditin
build (house),"pen (Ha,Bu)/pin"
build (water channel),la
building,penniin
bulbul (pycnonotus sp.),kekuru
bulging (of stomach),khiithii
bull,siibo/sii hiibo
bumble bee,tatu nanu
bump,tu
bun (female),dilin
bund (of a paddy field),ager
"bund (of a paddy field, short in height)",ager sopi/ager-garlo
bundle (of flat objects),chen-
bundle (of ropes),kii-
bundle (of threads),hor-
bundle up,a'nga
bundle up (bamboos),rii
bundle up (firewood),ra
burning coal,yamu michan
burning (of a flame),tiniin
burnt (result),-bya
bury,ali/li
bushy jungle,tiire apya
business (personal),kiiri pamo
busy,hapunma
butterfly,poper
buttocks,kota
button,lako
buy,rii
buy for someone,riibi
by means of what,niilo
by mistake,-pu
by oneself,"-sii (Ha, Hi)/ -su"
by what means,niitampa
cabbage,kobi*
cabbage leaf mustard (brassica juncea var. rugosa),giyan haman
cable (metallic),sosin
cage,tun
cajole,anyo
calculate,khii
calf (cow),sii atu
calf (deer),siidin atu
calf (mithun),subu atu
calf (of leg),liisi
call,gyoniin
call (someone),gyo
call (back),gyokur
call (something by a particular name),lu
calm,yanu
calm (patient/confident),hatii
calm down (result),-lo
calm down (someone from his anger),yarlo
calm down (someone verbally),lulo
cancel (something through thought),hempya
canal,bogo/yasi bogo
cane,yaso
cane loop (fixed on mithun horns to tie it before sacrifice),subu riigo
cane rope,saha/siiha
canine tooth,diipyo ahi
canis aureus,siipya
capped langur (trachypithecus pileatus),biser/siibi-biser
cap,tupi*
cap (traditional),byopa
capable,-la
capricornis miineedwardsii,kiidi siibin
carambola tree (averrhoa carambola),kordo*
carassius carassius,lanchan ngiiyi
carbon particles from smoke,muku-mui
cardamine hirsuta,aji padii haman
cardamom (elletaria cardamomum),ilaichi*
carelessly,-pa...-ma
caress,hiniin
careful (in speaking),lujer
caring (of something),ruguniin
carnelian bead,lebu
carriage,baniin
carrier (person),banii
carrier (tool),ba-nanii
carrot,gajer*
carry (a baby across one's chest),korii
carry (astride on the shoulders),halyan piidi (Hi)/hoyi tani
carry (by means of a shoulder strap),kokho
"carry (in one's arms, esp. kid)",go
carry (on one's body),gii
carry (on the back of something/on one's shoulder or head),ba
carry (on the shoulder or by hand),jo
carry (with a horizontal bar/rod),bar
carry (with one's hands),jojokhe
carry away (river),tulo
carry bag,jola
carrying fare,bajo
carrying handle,jogin
"cast (stick, spear)",chi
castrate,artin ku
casual,dumin
casual (unimportant),amii-alo
casual rate,khiiju/dumin khiiju
casually,-min...-yin
cat,ami
cataract,ami talu
catch (fish with a pole),tii/ti
catch (in a noose trap),ho
catch (in a snare),pyar
catchfly (silene sp.),jojuru
catch hold of,sii/shii
caterpillar,pombo/pomo
catla fish (cattla cattla),kopii ngiiyi
cattle bull,siibo
cattle bucrane (used as a warning sign against intrusion from outsiders),dapo-pogyan
catopuma temmincki,solan
caught,-he
cauldron,kera piichan
cause (someone to do something),-gii
cause (a burn),miibya
cause (conflict by arguing),lubyu
cause (confusion in doing something),miilu-miile
cause (physical pain or injury),une miigii
cause (something to burn),miibya
cause (sprain/injury by beating with a stick or rod),dankhii
cautious (in speaking),lujer
cavity (in soil),rabu/ubu-rabu
caw (frog),kho
