English,Apatani
indian jungle fowl/red jungle fowl (gallus gallus),parsin/more parsin
indian major carp (labeo rohita),rohu*
indian mole rat (bandicota bengalensis),uyi kubu
indian oleander (nerium indicum),pudu
indian pennywort (centella asiatica),ngiilyan khiiko haman
indian porcupine (hystrix indica),siikhii/siikhii-pukhii
indian strawberry (potentilla indica),aki jilyin
indian wild dog (cuon alpinus),siipya
individualistic,pimbu
inexpensive,khiima
infant,ii'nga
infertile (egg),piira
infertile (grain),asu
infertile (woman),asu
inform,luko
infortune (esp. due to some transgression),pobii
influence,lubur-luga
ingenious,miicher
inhale,salii
inherit,"penko (Ha, Bu)/pinko"
"initiate (talk, conversation)",lume
initiate (action),miime
injury (physical),une
injury (offense),pamyo
innocent (naive),apa-ama
inquire about,kaka-taka
insect (generic),tiyo
insert (cloth),peyi
insert something the wrong way,khiilii-khiikha
inspect,mechi-meyi
instant,arta
instead,ya
instep,liipin
instrument,miinananii
instrument for doing something,-nanii/-nananii
instrument for ginning cotton seeds,empya du
instrument for weeding out cotton seeds,lekho (Bu)/lyekho
instrument nominalizer,-nanii/-nananii
insult,-pyu
insult (verbally),lupyu
intelligent,piibi
intentionally,-din
intercross,inko-inpe
interfere,miiche
interfere in a discussion,luko-lupe
interior,ura
intermediate position,punko/penko
interpret,lusi
intervening gap,papei
intestines,khiijan-khiiro
intestinal worm,tader
into,-lii
inventive,miicher
investigate,suka
invite,gyo
invitation,gyoniin
irena puella,doji ropo
iris of the eye,ami nuri
iron,dachan
iron chain,ranyi
iron cooking tripod,halyan chanchu
irrigation channel,siilin
irritating,hadii kapa
ischium,siibi koter
it,mo
itchy,aha
january,murun piilo
japanese parsley (oenanthe javanica),hiigu haman
jar (earthenware),dekin piichan
javeline,punyan
jaw,soko
jew's harp,gangu
job,sakori*
job's tears (coix lacryma-jobi),taju riyan
join (bind together),-po
join (someone for doing something),-bo
joint (by pasting),tempo
joint (of the hand),lachi paban
joint (of the leg),liirii
joint (on bamboo),hartin/hatin
joke,so
joseph's coat (amaranthus tricolor),lanchan tayi haman
jostle,nensu
juice,ala
july,piije piilo
jump (by or as frog),be
jump/jumping (by or as frog),beniin
jump across (by or as frog),bebo
junction (of the leg),liirii bako
jungle,more
jungle crow (corvus macrorhynchos),puha/piiha
just (now),-kuran
jute,niire
juvenile (bamboo),apa
katydid (possibly elimaea sp.),leyu
keelback (amphiesma sp.),bokhe babro
keel over,te
keep (briefly/for a moment/temporarily),biilya/bulya
keep (coming),ade-ade
keep (eating as one moves),diijo
keep (in memory),henge
keep on (doing something),-de...-de
keep on [do]ing!,-lyato
kennel,aki asi
kernel,kormo/komo
key,sabe*
khaleej pheasant (lophura leucomelanos),parii
kick,tu
kick (and get stuck or caught),tuhe
kick (deliberately/intentionally),tudin
"kick (first, before someone else does)",tugo
"kick (first, before anyone else does)",tupyo
kick (to retaliate),tuli
kick (inside),tulii
kid,hime
kidnap (by a spirit or without a legitimate reason),bo
kidney,akhe
kill (by hitting with a machete or sword),pa
kill (by beating with a rod or plank),dankhii
kill (by shooting),ekhii
kill (by striking with an axe or a hoe),takhii
kill (by throwing some heavy material),rikhii
kill (in retaliation),menli
kill (intentionally/deliberately),mendin
kill (with one's bare hands),gakhii
kind,lyo-/yo-
kind (kindly),keyin/aha keyin
king cobra (ophiophagus hannah),buta tabu/borta tabu
kingfisher (alcedo atthis),yasi pari
kinperson,henii
kiss,mochu
kitchen utensils,piichan-paku/piichan sudu
kits and kin,achi baro/achi buru
kitten,ami-atu
kiwifruit,sanii taro/harkhu ahi
kiwi tree plant,sanii taro
knead,nu
knee,liiban
knife (esp. used in bamboo cutting),nyatu
knit,he
knock (with the leg),chadin
knock down (by a vehicle),tiipalo
knock down (by punching),kiite
knot (on bamboo),hartin/hatin
knot (on a tree),sarii
know,chin
know (recognize),kala
know (someone),kachin
know (how to come),achin
know (how to write),kechin
knowledge (about the apatani traditional relations and ways of life),giitu-giira
knuckle (of the finger),lachi paban
labial commissure,gonchan
ladder,abya
ladle (rice or millet beer),o yaju
ladle (water),yasi yaju
ladleful,ju-
'ladies and gentlemen',belunku
lag behind,ami to
laggard,liikan
lair,asi
lake,siimi
lame (of feet),liicha
lame (of feet and hands),liicha-lacha
land,kiidi
land of the dead (for men who die of unnatural death),talii myoko
land of the dead (for women who die of unnatural death),liibun myoko
land of the dead (for men and women who die of natural death),neli
lane,subu
langur (trachypithecus pileatus),biser/siibi-biser
lap,harpu
lapidate,rikhii
"large (bamboo grove, garden)",ngoro
large (piece of land),poro
large (rice field),garro
large (road),byaro
large indian civet (viverra zibetha),siilii
larynx,gyuyi-gyuro
larynx box,lanchu
last (in doing something),-myu
last evening,biilyin
last morning,biiro
last night,biiyo
last words spoken,lumyu
last year,biinyan
lastly,kamijapa
latch (door),ako
late ripening variety of millet (general),sarse
late ripening variety of millet (variety),rube sarse
late ripening varieties of rice (general),emo
lately,kamipa
lately (recently),siilo-biilyo
lateral malleolus (bony protrusion at the side of ankle),liimin alo
latrine,nekan
laud,asan
laugh (heartily),ngarhe/ngarheje
laugh (to oneself),ngarsi
laugh (with someone),ngarbo
laugh at,ngarpa
laugh out,ngarpo
laughable,ngarnan
laughing thrush (garrulax sp. or turdus sp.),more pai
laughter,ngarniin
lawn,lengo
"lay (cloth, blanket)",ke
lay (eggs),papu pu
lay (foundations of a building),ari
lay (something breadth-wise),sorpii
lay a trap (esp. a loop or noose trap),pe
lay a trap (esp. a spring action trap),gii
lazy,asu
lead (in doing something),-gii
lead (an animal ),dar
lead (a person somewhere),ingii
lead to (result),-gii
leaf,anii/yanii
leaf (partially withered),sembi
leak,dodu
lean (on/against something),teda
lean (human),chaga-chaga
lean and thin (human),riigii raga
lean and thin (animal),sensii
leap (as a frog),be
learn (from someone),tagii-kagii
learn (from someone by listening),tagii
learn (from someone by seeing),kagii
learned (knowledgeable),kala-tala
least,icheja/ichuja
leather bag (variety),chiru
leave,inpa
leave (a mark on something),kaho
leech,"tape (Ha,Bu)/tiipe"
left ear,ruchi yaru/yaru-ruchi
left leg,liichi/liichi ali
leftovers,ame-aja/ame-aje
leg,ali
leisurely,-min
leiothrix lutea,rahe
length,aso
leopard (panthera pardus),hogya taker
lesser,icheya/ichuya
lesser duckweed (lemna minor),murta tapan
let,-kii/-ke
let me [do],-kiinen pe/kenen pe
let me [do] first,-toranso
let's,-sa
let's go (and do something),kiije
let's not [do],-masa
lethargic,miyo-miyo
letter,siti*
lever,ko
levy (fine),pacha
liar,lyolichochi
lichen,yasan tapan tayin
lid,apu-nanii
lie (beadthwise),kopii
"lie (in a 69 position, one's legs facing other's head)",doshi
lie (lengthwise),koso
lie (with heads facing each other),dopii
lie down (with/alongside someone),liibo
life,sango
lifestyle,sanju
lift (onto a higher level),jocha
lift (to hold on arm/shoulder),go
lift (with the palms of the hands),pii
lift (with the tips of two fingers),pintu
lift up (to cuddle a baby/child),gocha
ligament,aro
light (from a ray of sunlight),rinyi
light (colour),sapu
light (sky),huda
light yellow,pilan-piku-pilya
lightning,dolya
lightweight,haju
like,hiilyan
like this,siitan/siitampa
limp,cho
line,asii
line drawing,riniin
line of the eyelid,miri/ami-miri
lineage (patrilineal),uru
lion (panthera lion),yanko patii
lip,nyachu
lip (lower),akan nyachu
lip (upper),ayo nyachu
liquid,ala
liquor,o
listen,ta
listen together,tayin
lit (esp. a fire),pagi
little by little,ajer-aber
little forktail (enicurus scouleri),chilyu
litsea cubeba,santu tero
live (frugally),milin/milyin
live (life),san
live (reside),dudu
"live (reside, esp. by animals)",dadu
livelihood,sango-gyago
lively,alyin
liver,pahin
lizards (generic),sopin-sojan
loan,narpaniin
locust,kormu
lock,hepin
lock (via crossbar),arko
lock (crossbar),arko-nanii
log,sampo
loin loom,chichin
loin cloth (for men),sarbe/sabe
long ago,bilo
long bean,peron/perun
long for,kage-kage
long talk/speech,lukanniin
look (appearance),aju
look (angrily at),kakhe
look (appear),kapa
look (around),kahii-kakhe
look (at someone with envy),karin
look (back),kakur
look (closely),kakhe
look (downward),kalo
look (fixedly at),kage
look (for a long time),kakan
look (from a distance),kathu
look (from a place of hiding),karo
look (in a clumsy or ackward way),hor
look (in detail),kakha-kari
look (upward),kacha
look down (on someone),sarpa
look for,me
look like,hubo-hulo
look out!,kabiidolatiika ah!
look up (to someone),kadu
looking glass,kere talo
loop,kar-
loop (of plaited cane used to fix the upper end of a loin loom),chingyan
loop trap,hoka
loose,are
"loose (rope, snare)",giiru-giira
loose (tooth),biilii
loosen (rope),tiiru
lophura leucomelanos,parii
lose (way),ngo
loud (sound),tasu-tase
loud (voice),goro
loudly,goropa
louse (chicken),pami/paro-pami
louse (head),takhe/takhii
love each other,hensu
lower,n. akan
lower,of a village n. nenko
lowermost paddy field (of one's paddy fields),garko
lucky,aro
ludicrous,ngarnan
luggage,dukhu-palyo
lukewarm,gulun-giile
lull,mya
lump of ash,iti
lung,haru
lure,pigii
lutra sp.,siirin
macaque,bidii/siibi-bidii
machete,ilyo
mad,rungya /rungya-ruya
mainland serow (capricornis miineedwardsii),kiidi siibin
maize,tanyi
maize seed,tanyi-nyili
major,(of something) n. hata ganda
make a fire,par
make a fuss,agin
make a hole,-ko
make a hole (by digging),durko/duko
make a hole (with a hoe),ta
make a mistake (in doing something),-pu
make a plait,per (Hi)/pyer
make an enclosure,go
make clear,-der
make dirty (liquids),miibyu/miibe
make excuses,agyan-aye mii
make fun at,ngarpa
make loose,biisu
make noise,adu
make someone cry,miikhe
make someone cry by telling something or scolding,lukhe
make something clear by telling or explaining,luder
make something fall,miilo
make something from a distance,miisa
make something suddenly release,miibe
make something to swing,abi
make trouble,agin
making,miiniin
male boar,lyipo/alyi-lyipo
male dog,kibo/aki-kibo
male deer,dimbo/siidin-dimbo
male human individual,milobo
male lover,miha
male monkey,siibi-bipo
male pubic hair,myamu
malevolent spirit,igii/igii-irun
man (person),miyu
"man (married adult, term of respect)",aba-akha
manner (of doing something),-ju
manufacture,pulin/piilin
manufacture (process),miiniin
march,myoko piilo
mark on,niiho
market,bazar*
married couple,mihi-milo
marrow,lochun
marry (a man),milo in
marry (a woman),mihi bii/mihi bu
marshland,diju
master (of a property),ato
masticate,nyen
mat (sitting),dota-nanii pepu
maternal aunt (term of address),ata
maternal aunt (term of reference),atabo
maternal aunt's husband (term of address),aku
maternal aunt's husband (term of reference),akubo
"maternal aunt's son, older (term of address)",ate
"maternal aunt's son, older (term of reference)",atebo
"maternal aunt's son, younger (term of address, male speaking)",anu
"maternal aunt's son, younger (term of reference, male speaking)",anu
maternal aunt's daughter older (term of address),ate
"maternal aunt's daughter, older (term of reference)",atebo
"maternal aunt's daughter, younger (term of reference)",barmii
maternal uncle (term of address),aku
maternal uncle (term of reference),akubo
maternal uncle's son (term of address),aku
maternal uncle'daughter (term of reference),akubo
matter,na
may,enda piilo
may,-nedo
may not,-diima
may not be able to,-ladiima
may not have [done],-diimane
may not have [done] yet,-randiima
me (object),ngiimi
meal,diigo
mean,ahi
meat,yo
meat (boneless),yalan
meat (raw),arpe
meaningful act,miinan-miiran
meanwhile,-lya
measles,talan
measure,juka
measure (in handspans),go
median,liipa
medicine,diiro/diiro yasi
medium (diviner),mikhii runii
meeting,dokun
megalaima sp.,piige
megalaima virens,pengu
melting (by heating),jiniin
membrane (of a tissue),apu
merops orientalis,achu galan
message,puyu
metal,dachan
metal bell (tibetan),lyacho/lyecho
metal bracelet,kobyan
metal ring chain (on priestly hair knot skewer),dinko ranyi
metal skewer (in male hair knot),dinko
metallic spoon,talo punyu
metallic wire/cable,sosin
middle of the world,doha liipa
midnight,yolyan/yolyan liipa
midst,liipa
migrate (by animals),myogu
mile-a-minute (mikania micrantha),riri haman
milk,anyin
millet (eleusine coracana),sarse
millet (early ripening variety),mipa/mipe
millet (late ripening variety),sarse
millet stalk,sarkho
"millet stalks (remaining following harvest of the grains, which are dumped in the soil)",sarma
millipede,"sarbo liirin (Hi,Ho)/khiibo larin"
milvus migrans,more miiya
mine,ngiikii
minuscule,miiri-miinya
mirror,kere talo
misbehaviour,miigya-lugya
mischievous,lulyi-lume
mischievous person,lyolichochi
miser,chahi/chayi
miserly,chale
mishear,tamur
miss (a target),-kha
miss (forget to include),-go
miss (the target one is shooting at),ekha
miss (someone or something),sulyu
miss (when shooting),ekha
mistakenly,-pu
mister,belun
mithun (bos frontalis),subu
mithun (fully grown),subu ane
"mithun (young/half- grown, with horns equal to the breadth of 2 fingers)",subu siido
"mithun (young, with horns equal to the breadth of 3-4 fingers)",dorin subu
mithun bull,subu siibo
mithun calf,subu atu
mithun calf (without horns),subu penge
mithun cow,subu siinii
mithun dung,subu ipa
mixed (by pressing),nu
mixed up (things),akhiin-amii
mixed up (confused),hogyo-holyo
modest,chimin
molar tooth,hiran
mole cricket,dibur
money,tiiko
mongoose,"tangusi (Ha,Bu)/tanngiisi (Hi)/tahansi"
monitor lizard (varanus bengalensis),gyoyi tabu
monkey,siibi
monkey (baby/juvenile),siibi atu
monkey (male),siibi-bipo
monkey (female),siibi-binii
"monkey (short-tailed varieties, esp. macaques)",siibi-bidii/siibi-bidin
"monkey (long-tailed varieties, esp. capped langur)",siibi-biser
monkey head,bidin/siibi-bidin
month,piilo
moon,piilo
moon (new),piilo ajan
moon (full),piilo akha
moonlight,piilo huto
more (than),-ya
morning,aro
morning (early),aro konchi
mortar (for rice and millet),yaper
mortar (for chillies),sudu yormii
mosaic-like,pari-pagyo
mosquito,taru
moss,yasan tapan
motacilla alba,aji pai
moth,piijin
mother (term of address),ane/ama
mother (term of reference),anii
mother's brother (term of address),aku
mother's brother (term of reference ),akubo
mother's brother's wife (term of address),achi
mother's brother's wife (term of reference ),achibo
mother's brother's son (term of address),aku
mother's brother's son (term of address),akubo
"mother's brother's daughter, older (term of address)",ata
"mother's brother's daughter, older (term of reference)",atabo
mother's sister (term of address),ata
mother's sister (term of reference ),atabo
"mother's sister's son, older (term of address)",ate
"mother's sister's son, older (term of reference )",atebo
"mother's sister's daughter, older (term of address)",ata
"mother's sister's daughter, older (term of reference )",atabo
mother-in-law (term of address),ayo
mother-in-law (term of reference),ayobo
mound,puchun
mountain,putu
mountain imperial pigeon (duculia badia),diilyan paku
mountain pass,putu-pukho
mountain peak,pulyan
mountain-pepper (litsea cubeba),santu tero
moustache,gomu
mouth harp,gangu
mouthful,gon-
move (from one's seat),kohii
move (head sideways),mo
move (neck),langii/langii-lankhe
move (with a lever),da
move (with a stick or any similar device),kho
move across,bo
move back (in an upward or northern direction),chakur
move on/along a pole or a rope,son
move up,cha
move in (to do something),miiha
move upward/northward (to do something),-cha
move up (with someone),chabo
moved (result),-hii...-khe
mrigal (cirrhinus cirrhosus),ponyo ngiiyi
mud,jebi
muddled,-khiin...-mii
muddy,jebi
muddy water,kacho yasi
mudslide,chabya harniin
muntjac (muntiacus muntjak),siidin
murder,men
muscle,aya
muscle/flesh on the upper arm,lapo kupu
mushroom (orange variety on bamboo nodes),bije nyanyi/bije yartan
must,-ken/-kin
must not,-kinmane
mustard (brassica juncea var. rugosa),giyan haman
mutton,siibin yo
muzzle,nyatan
my,ngiika
my place/property,ngiiko
myna,halika*
myself,ngosu
nag,luhi-lure
nanny goat,siibin binnii
nap (in a sitting position),niite
nape of the neck (animals),siilan pachan
narrate,khan
narration,khanniin
narrow,ache
narrow,ponchu
narrow (road),byanyo
naughty,dema
nauseous,aha bulun
nasal mucous,tano
navel,khiinii
nearby area,arun
nearby (result),-nii
neat,darii
neck (of a pot),alan
necklace,tasan
neglectfully,-pa...-ma
needle,kuti lyanso
neighbourhood,ari-apii
nemacheilus arunachalensis,ribu ngiiyi
neofelis nebulosa,hogya
nepa,khange-lyange
nepalese alder tree (alnus nepalensis),riime/rume
nepalese smartweed (persicaria nepalensis),luli haman
"nephew (brother's or sister's daughter, male speaking)",anu
"nephew (brother's or sister's daughter, male speaking)",baro
nerve,aro
nest,asi
nettle,piirii
never,ronge hete/ronge heter
new,niti
news,puyu
next year,diirada
nice,aya
nice to look at,kapyo
nicely,ayapa
niece (brother's or sister's daughter),barmii
night,ayo
night time,ayo
nineteen,alyan hela koa/alyan le koa
ninety,koa khannge
nipple,nyimper/anyin-nyimper
no,ma
no other than,nyan
node (of a plant stem),hartin
noiseless,chimi
non apatani people (esp. nyishis and hill miris),misan
non edible thing,diimaniin
non-kin,nyibo
none (of the),miilan (in negative sentence)
none other than,loda
noon,alo-liipa
nope,ma!
normally,-chan
north,asan
northern direction,asan dalyi
northward,-cha
nose,yapin
nose bridge,yapin pinyan
nose plug,yapin hulo
nostril,yapin ubu
not,-ma
not anymore,-kuma
not yet,-maran
notched log (providing access to the ceiling),reke abya
nothing,hangiima
nothing else than,adin
notonecta,nato pano
november,emo piilo
nourish (an infant with liquid or semi-liquid foods),asin
numb (in leg),liipi
nursery for paddy,midin
nurture,ho/oho
oak (quercus lamelosa),subu mitin
obedient,"denki (Ha, Bu)/dinki"
observe (a ritual proscription),anyo/nyo
obstruct,hatu-hapo
obstruct (vision),katu
occiput,koga
occupation,digo
ochraceous catsnake (boiga ochracea),biiya yalan
o'clock,baji*
odiferous,naru
odorous,naru nenkha
odour,naru
oenanthe javanica,hiigu haman.
"of good quality (grain, crop)",abin
of no use,niidu piidimapa
of what,niikii
off (result),-pa
offense,pamyo
offer,ton
offer something (esp.rice) as a contribution for feast,bin
offspring,oho ashi
oil,teli*
"old person, esp. man",akha
old (person),akha
old (woman),misi
old (non-living thing),khu
old world forkedfern (dicranopteris linearis),giimya
"olden (days, times)",ayu
older,akhaya
oldest,akhaja
ombilical chord,-khiinii
omit,-go
on (someone else's behalf),-bi
on (the air),apya
once (one time),oye/uye
once (some time back),ale
once upon a time,bilo
one after the other,...-si...-si
one at a time,-gobiila
one by one,ako-ako
one-eyed (be),ami puye gii
oneself,ato
oozy,biile
open,miiko
open (attitude),hemin-henja
open (by using tongs or fingers),peko
open (sliding door),yako
open (hand),lata
open (mouth),gonko
open (result),-ko
opening (in the dyke of a paddy field),miigo/mugo
operate (door),gi
operate (lever),ko
operate (lock),he
opinion,henkaniin
opportunely,-da
opposite,lahii
opposite side,pache
or,malo
orange (fruit),komla* tii'nga
orange (colour),pyamin
"orange (colour, dark)",tormin
orange-breasted green pigeon (treron bicincta),salyo paku
organic fertilizer,abu-ake
orphan,miji/miji atu
ostracize,lanpa
other,khiibe
other side,pache
otter (lutra sp.),siirin
our,ngunuka
our place,ngunuko
ours,ngunukii
ourselves,ngunusu
out (directional),-lin
outer layer of a bamboo stalk,bije aru
outer layer of a corn/maize ear,tanyi aru
outer layer of a split bamboo pole,yar-
outgoing,linniin
outlet (of a paddy field),miigo
outskirts,jabyo
over,-bo
over and over,-de...-de
overburn,byayi/byahi
overcast (sky),domu
overlap,berpyun (Hi)/byarpyun
overflow,bipo-bilo
overlook (someone or something),kago
overly,-ha
overpower someone by beating,pitun
overreact,hadii-diiga
overreacting,hadii-diiga
oversee,kayi-kago
overshadow,byokhe
oversleep,imi-ihii
overtake (by running or driving),hargo
overthrow,jopaniin
owl,ngiila/ngula
owlet,tapi ngiila/tapi ngula
own,bu/bii
own,ato
own (self),ato/ ato-ato
owner,ato
ox,sii
oxalis corniculata,khuyi haman/akho haman/o haman
pace (step),da-
pack (wrap),apu/pu
pahari peepal (piper brachystachyum),raru haman
painful,achi
pal,ajin
pale (colour),sapu
palm (of the hand),lapyo
palm (hand breadth),nan-
palm civet,(Paradoxurus hermaphroditus and Paguma larvata)
palm grass (molineria capitulata),loli
pamper,go
pan,chan-
pancreas,alyin
panther (panthera pardus),hogya taker
panther (black),nyokhe
papaya (carica papaya),popita*
paper,pota*
parable,nitin
paracress (acmella oleracea),yorkhun haman
parakeet,palyu
pardon,helo
parents,anii-aba
part,arta
part/half (of something),-chehe
part/half (of what has been fetched),hachehe
part/half (of what has been divided with a machete or sword),pachehe
part of,papo
partial (biased),hensan
partially,-ku...-lya
"particle (solid, small)",hiiri/hiiri-hiikho
partridge (arborophila spp.),pakhu
pass,bisi-bime
pass (through time),alo-lo
pass by,inpo-ilo
pass each other (while going in opposite direction),inko-inpe
passer montanus,pari piita/ude pari
past (across),-bo
pat (affectionately),pika
patch,palyo
"patch (of bushy vegetation, e.g.)",apya
patch (of prickly shrubs or vines),tare apya/tiire apya
patella,liiban tapi
paternal uncle (term of address),ate
paternal uncle (term of reference),atebo
paternal aunt (term of address),ata
paternal aunt (term of reference),atabo
paternal aunt's husband (term of address),ahu
paternal aunt's husband (term of reference),mabo
paternal aunt's son (term of address),ya
paternal aunt's son (term of reference),ohobo
"paternal aunt's daughter, older (term of address)",ata
"paternal aunt's daughter, older (term of reference)",atabo
"paternal aunt's daughter, younger (term of reference)",barmii
paternal grandfather (term of address),ato
paternal grandfather (term of reference),atobo
paternal grandfather's brother (term of address),ate
paternal grandfather's brother (term of reference),atebo
paternal grandfather's brother's wife (term of address),achi
paternal grandfather's brother's wife (term of reference),achibo
paternal grandfather's sister (term of address),ata
paternal grandfather's sister (term of reference),atabo
paternal grandfather's sister's husband (term of address),aku
paternal grandfather's sister's husband (term of reference),akubo
paternal grandmother (term of address),ayo
paternal grandmother (term of reference),ayobo
path,subu
path (bamboo groves),leyu
path (cattle),subu lembo
path (firewood),yasan lembo
paths (to or from the village),leyu-siigya
patriclan,halu/halu giira
patrilineage,uru
pauper,heme
pavo cristatus,tarlar
"pay (wage, salary)",jo
pay (wages),injo-miijo
pay a visit,ayi-acha
"pay/give in return for something, as a compensation",bili
pea eggplant (solanum torvum),byako
peaceful (person),yanu
peach,takun/halyan takun
peach tree (prunus persica),takun sanii
peacock (pavo cristatus),tarlar/tar piita
peacock pheasant (polyplectron bicalcaratum),tarlar/tar piita
peak,pulyan
pebble used in one particular game,dopa
peck,pa
peel,bekho
peel the skin of something (e.g. a fruit),alyo dipa
peep,karo
peep out,nyalin
pelt,go
pelvic region,harpu
pelvis,kopya
penalty,dapo
penis,amyai
penis (with an uncovered glans),lyipo
perch,rii
perform (divination through chicken liver examination),ko
perform (divination through poultry egg examination),pi
perform (task),miigo mii
period,myodu/myodu-myolo
persicaria nepalensis,luli haman
person (as a member of a descent group),atu
perspicacious,khankha
persuade,lugii
perturb,miiko-miipe
pestering (behaviour),tura
pestle (for grinding rice grain and millet),hunyi/duhu-hunyi
photograph,potu*
pick,chi
pick (between a finger and the thumb),pin
"pick (leaf, flower, fruit)",tur (Hi)/tu
pick (vegetables/plants from the ground),he
pick up,jotu
pick up (with the hand),lacha
"pick up (flower, fruit, etc.)",tucha
piece,palyo
"piece (of a flat-sided object, relatively thick and big)",pata
pierce (with a pointed object),niiyu
pierced,ugya-ragya
pig,alyi
pig excreta,alyi ikha
pig fat,hulyi
pig forelimb,lyila/alyi-lyila
pig hair,alyi amu
pig wooden trough,durgu/alyi durgu
pigeon,paku
piglet,alyi-atu
pigsty,alyi giiri
pile (closely),jode
pimple,aper
pimple-like (appearance on skin),tabu-taru
pin,chuki
pincers,miige
pinched (result),-ni
pineapple,anaras*
pine for/after something,kage-kage
pine and bamboo groves,sadi bije
pine and tree grove (mixed vegetation),sadi
pine cone,piisa-sakhu/piisan pakhu
pine needle,saman/piisa-saman
pine torch,sathi
pine tree (aged and revered),satnii
pineapple,anaras*
pink,lamu-layu
pipe,abu
pipe/duct (used as a paddy field outlet),hubur
pipe/duct (in the trench of a paddy field),parkho hubur
pipe (smoking),sudu/muku sudu
piper brachystachyum,raru haman
"place (for doing something, or place where an event occurs)",-ko
place (for building a house),penko
place (residence),sanko
place (higher),ayo
place (lower),akan
place (accomodation),duko-dako
place (small things),ten
place in,pa
place one's hands side by side with palms facing upwards,agya
place something in a wrong place (by lifting it),jogya
place one's hands side by by side with palms facing upwards,agya
place to where one should go,insiiko
place to where one should not go,insiimako
placenta,niimin
"plague (of rats, esp. that occuring during the periodic flowering of bamboos)",buli
plain,hapa
plains people,halyan
plait,"pyar (Ha,Bu)/pya"
plank,santa
plants (general),sanii-sanko/sanii-sankho
plants on which cattle feed (general),niisan-niiman/niisin-niisan-niiman/niisin-niiman
planting/plantation,liiniin
platform (of the front veranda),byago simbya
platform (of the rear veranda),uko simbya
plastic (shopping bag),raji
plateau,polyan
play,soniin
playground,soko
plaything,amin-ahi
please,hempyodopa mii
please (request),"pe (Ha,Bu)/pi"
please do for me/to me,"pe (Ha,Bu); pi"
pledge (as security for the payment of a debt),pahe/pahe-laye
plenty of,acho
plot,biidi balo
plot,biidi balosiiniin
plot (of land),"per- (Ha,Hi)/pyar-"
"plot (of grove, forest)",ngo-
pluck (fruit),"pur (Ha,Bu)/por"
"pluck (leaf, flower, fruit)",tur (Hi)/tu
pluck (fruit to feed oneself),purdo
plucking (of fruit),"purniin (Ha, Bu)/porniin"
"plucking (of leaf, flower, fruit)",turniin (Hi)/tuniin
plum (prunus domestica),palan tiinga
plump,dedemiire
plunge (into),chuha
plural marker,atan/achin
pocket,chiru
point (of something sharp),umyu
point (at something/someone),nya
point (esp. of an iron-headed arrow),apii-piitu/apu-putu
point ostensibly (at something/someone),nyakin
pointed,umyu
poisonous agent,diidii giinii
poisonous food,diidii
poisonous mushroom,diidii tayin
poisonous to drink,tandii
poisonous to eat,diidii
pole (used for carrying pigs during myoko),ragyan
pole-fish,tii/ti
pole-vault,ke
polish,miinya
polyplectron bicalcaratum,tarlar
pomegranate (punica granatum),anar*
poor,aro/aro-atu
poor people,aro-yama
popcorn,papu
popular,hapu-ripu
porcupine (hystrix indica),siikhii
pork,alyi yo
pork intestines and fat (viewed as a cut of meat),hedu/pidu
portion,arta
possess,bu/bii
possible,-la [-la:]
potato,alu*
pot (for cooking rice),apin piichan
poultry,paro
poultry dropping,paro-pai
poultry plumage,paro amu
pound (with a log or pestle),hu
pound (rice grain),du hu
pounding,huniin
pounding (of rice grain),du huniin
pour in,tolii
pour (through a hole or outlet),riilo
pouring (of a liquid),tiniin
pouting,nabu-gombu
poverty,aro
powder (by crushing with the hands),kemii
powder (esp. dry things by crushing with the hands),kere
powdered,-mii
powdered millet,mirii
powerful,aler
practise (doing something),-nyo
practice,miinyo
praying mantis,alyo konso/alyo gonso
prawn (river),nyampo tasin
preceding,kapyo
preferable (for doing something),-bi
precisely (this/that one),nyan
precious,khiinii/kinii
prejudiced (biased),hensan
prepare,mii
present,amin-ahi
preserve,gobii-chibii
preserve (for future use),henjer
press (down),ten
press (on/upon something with the foot or toe),benti
press (with one's thumb),tipina*
press (with the hand),na
pressure,nanniin
presume,helii/helii-henga
pretty,kapyo
previous,kapyo
previously,kapyopa
price,ari
prick (underneath one's foot),chayu
pride,hiinya biiso
prick,nii
prick (as one steps on something),adu
prick/puncture underneath one's foot,chayu
pride (honour),hengi-hentii
priestly bell used in rituals,dolyan riichan
primordial times,kolyun-kolyo
primula (primula sp.),bagan rinyo
privet (ligustrum ovalifolium),sankhan melyan/sankha melyan
production (creation),miilin-lulin
progeny (for humans),atu
prominent,pyolo
promise,hemme
prompt,nyibya
propel through the air,go
prosperity,sangii gyagiinii
protect,miigur
protrude,polun
protruding (roof),umyu
proverb,nitin
provoke someone with one's acts,miilo
pruning,miininiin
pubic hair (female),tumu
public hearing,supun dapo
"pull along (using a rope, a cable or a chain)",bo
pull by dragging,se
pull down,tiilo
pull out,tiipa
pull out (remove),bulin/biilin
pull out (plants),he
pull up,purcha
"pull up (using a rope, a cable or a chain)",bocha
"pulling (with a rope, cable or chain)",boniin
pulling out (removal),buniin/biiniin
"pulling out (esp. of plants, without removal of roots)",heniin
pulling out (esp. things of relatively small size),seniin
pulp (of a fruit),halyan
pumpkin (cucurbita moschata),"tape haman (Ha, Bu, Ho)/epe haman (Hi)/ayo tape"
pumpkin (fruit),"tape (Ha, Bu)/epe (Hi)/ayo tape (Ba)/ayo tiipe"
punch,kii
punch,u-
pungent (food),peko
punish,taprii
